Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
10/10/2011,7.9,24.5,-4.8,25,-11.5,25.6,281.1,16,5,-1,4,7,9,11,No data,No data,No data,No data,No data,11,7,No data,7,6,10,No data,10,10,No data,8,8,No data,8,3,No data,10,8,6,5,9,8,7,9,7,No data,7,8,12,7,No data,7,No data
11/10/2011,12.5,15.8,-7.7,17.5,-16.4,19.4,296.1,17,8,0,4,No data,5,8,No data,No data,No data,No data,No data,8,8,No data,5,5,6,No data,9,9,3,7,7,No data,5,4,No data,8,6,5,4,7,5,5,7,4,No data,9,6,8,7,No data,3,No data
12/10/2011,19.7,3,-0.1,3,-8.5,5.2,271.7,0,7,0,4,5,3,10,No data,No data,No data,No data,No data,10,8,No data,5,5,9,No data,10,10,6,7,10,No data,7,5,No data,8,9,4,4,8,6,7,8,7,No data,No data,7,11,8,No data,2,8
13/10/2011,22.1,3.4,11.6,12.1,-35.6,21.5,196.5,0,9,2,7,12,10,17,No data,No data,No data,No data,No data,19,10,No data,7,11,13,No data,15,17,No data,13,17,No data,11,10,No data,5,11,11,8,16,11,12,11,10,No data,No data,10,22,13,No data,14,10
14/10/2011,22.1,6.4,16.7,17.9,-15.5,19.5,201,14,18,12,7,13,18,21,No data,No data,No data,No data,No data,14,18,No data,12,14,24,No data,17,16,No data,15,17,No data,21,21,No data,8,16,15,18,14,21,13,14,19,No data,16,11,27,22,No data,19,18
15/10/2011,17.8,9.3,11.4,14.7,-12.9,16.1,219.2,15,17,13,10,18,18,26,No data,No data,No data,No data,No data,20,18,No data,17,15,31,No data,23,22,No data,18,23,No data,22,22,No data,13,25,18,22,14,19,18,18,20,No data,23,14,26,23,No data,20,25
16/10/2011,15.1,17.9,7.4,19.4,-13,20.5,247.5,15,7,2,4,13,10,16,No data,No data,No data,No data,No data,21,8,No data,18,14,25,No data,26,30,No data,20,30,No data,15,13,No data,23,22,14,13,21,11,15,25,13,No data,23,26,18,16,No data,8,22
17/10/2011,7.3,28.4,12.3,30.9,33.6,35.2,246.6,25,3,1,4,5,3,7,No data,No data,No data,No data,No data,12,6,No data,6,4,No data,No data,11,11,No data,10,12,No data,3,5,No data,9,4,4,5,12,5,7,11,3,No data,12,8,7,9,No data,3,9
18/10/2011,6.2,27.7,-18.5,33.3,23.1,35.3,303.8,17,2,0,4,3,3,7,No data,No data,No data,No data,No data,7,7,No data,5,3,No data,No data,10,8,No data,5,7,No data,2,4,No data,3,4,3,3,8,4,4,5,3,No data,6,4,7,5,No data,3,No data
19/10/2011,16.8,11.1,-17,20.3,-21.4,22.9,327,7,4,0,4,4,2,8,No data,No data,No data,No data,No data,8,9,No data,6,4,No data,No data,10,9,6,7,10,No data,4,5,No data,6,9,4,5,9,5,5,7,No data,No data,8,7,10,8,No data,3,No data
