Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
30/09/2011,16.1,7.4,13.5,15.4,-6.7,15.7,208.8,15,No data,35,34,28,29,24,31,28,No data,No data,No data,No data,No data,No data,46,46,31,No data,35,No data,No data,32,26,26
01/10/2011,21.5,0,2.3,2.3,-12.9,6.9,178.8,0,No data,37,33,28,39,28,25,29,No data,No data,No data,No data,No data,No data,41,49,32,No data,38,No data,29,30,28,23
02/10/2011,16.7,8.5,4.8,9.8,-19.2,13.7,240.6,5,No data,30,40,21,24,20,27,26,No data,No data,No data,No data,No data,No data,33,44,24,No data,25,No data,32,26,24,28
03/10/2011,7.2,31.5,10.2,33.2,7.5,33.4,252,16,No data,No data,24,19,8,26,25,19,No data,No data,No data,No data,No data,No data,20,38,21,No data,24,No data,17,23,22,17
04/10/2011,8.2,24.6,1,24.6,-27.4,28.2,267.8,6,No data,12,14,8,6,12,8,8,No data,No data,14,No data,No data,No data,11,30,9,No data,8,No data,8,10,3,9
05/10/2011,5.5,29,6.7,29.8,17.3,31,256.9,16,No data,No data,9,4,4,9,7,5,No data,No data,No data,No data,No data,No data,8,22,6,No data,4,No data,5,6,1,3
06/10/2011,5.6,29.6,-11.3,31.7,20.5,33.3,290.9,16,No data,9,10,4,3,7,10,5,No data,No data,No data,No data,No data,No data,7,18,6,No data,6,No data,4,8,3,2
07/10/2011,16.6,12.3,-17.2,21.2,-25.7,24.8,324.3,7,No data,10,9,5,5,10,7,5,No data,No data,No data,No data,No data,No data,9,9,6,No data,8,No data,3,8,2,3
08/10/2011,16.7,15.1,-0.1,15.1,-19.1,17.9,270.3,6,No data,10,10,6,5,10,9,6,No data,No data,No data,No data,No data,No data,10,12,6,No data,6,No data,5,9,3,4
09/10/2011,9.7,24.4,-4.1,24.8,1.7,24.8,279.6,16,No data,No data,10,5,2,11,9,7,No data,No data,No data,No data,No data,No data,8,21,8,No data,9,No data,7,9,5,2
10/10/2011,7.9,24.5,-4.8,25,-11.5,25.6,281.1,16,No data,No data,14,5,3,11,11,9,No data,No data,No data,No data,No data,No data,11,21,10,No data,7,No data,5,10,6,4
11/10/2011,12.5,15.8,-7.7,17.5,-16.4,19.4,296.1,17,No data,No data,11,6,2,9,12,7,No data,No data,No data,No data,No data,No data,9,25,8,No data,8,No data,4,8,4,5
12/10/2011,19.7,3,-0.1,3,-8.5,5.2,271.7,0,No data,No data,14,7,9,11,10,9,No data,No data,No data,No data,No data,No data,16,22,9,No data,10,No data,8,9,6,5
13/10/2011,22.1,3.4,11.6,12.1,-35.6,21.5,196.5,0,No data,No data,20,14,10,16,17,13,No data,No data,No data,No data,No data,No data,18,22,9,No data,13,No data,8,18,16,9
14/10/2011,22.1,6.4,16.7,17.9,-15.5,19.5,201,14,No data,17,30,15,19,17,22,20,No data,No data,33,No data,No data,No data,28,23,14,No data,No data,No data,17,15,19,13
15/10/2011,17.8,9.3,11.4,14.7,-12.9,16.1,219.2,15,No data,24,27,19,16,18,No data,23,No data,No data,No data,No data,No data,No data,32,26,18,No data,No data,No data,20,20,18,19
16/10/2011,15.1,17.9,7.4,19.4,-13,20.5,247.5,15,No data,20,22,22,8,26,No data,18,No data,No data,No data,No data,No data,No data,30,41,20,No data,No data,No data,15,19,8,15
17/10/2011,7.3,28.4,12.3,30.9,33.6,35.2,246.6,25,No data,6,10,8,3,14,No data,6,No data,No data,No data,No data,No data,No data,8,22,8,No data,No data,No data,5,11,2,4
18/10/2011,6.2,27.7,-18.5,33.3,23.1,35.3,303.8,17,No data,6,10,4,2,9,No data,5,No data,No data,No data,No data,No data,No data,7,No data,5,No data,No data,No data,4,7,3,1
19/10/2011,16.8,11.1,-17,20.3,-21.4,22.9,327,7,No data,No data,9,6,5,11,No data,7,No data,No data,No data,No data,No data,No data,10,15,No data,No data,No data,No data,4,10,4,4
20/10/2011,18.5,17.2,8,19,-20.7,21.7,245,5,No data,No data,20,9,8,14,10,10,No data,No data,18,No data,No data,No data,11,21,11,No data,No data,No data,3,13,6,No data
21/10/2011,11.4,22.6,10.4,24.9,-2.8,24.9,245.2,15,No data,No data,13,11,3,15,8,7,No data,No data,14,No data,No data,No data,10,31,10,No data,No data,No data,5,15,3,9
22/10/2011,5,11.1,22.1,24.8,8.9,25.2,206.7,15,No data,11,18,14,11,19,14,15,No data,No data,18,No data,No data,No data,21,26,15,No data,No data,No data,11,15,10,14
23/10/2011,0.4,-0.9,27.2,27.2,20.9,29.2,178.1,14,No data,12,19,14,13,17,14,17,No data,No data,21,No data,No data,No data,22,23,17,No data,No data,No data,18,15,12,18
24/10/2011,0.2,-4.6,24.1,24.5,52.9,36.1,169.2,20,No data,16,24,14,20,16,13,21,No data,No data,31,No data,No data,No data,26,20,17,No data,No data,No data,22,14,11,20
25/10/2011,0.6,-3.9,16.3,16.7,38.9,25.7,166.5,20,No data,8,17,8,14,8,8,14,No data,No data,25,No data,No data,No data,20,22,12,No data,No data,No data,13,7,4,14
