Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
23/01/2011,31.8,-0.8,-10.6,10.6,-45.1,24.9,4.1,0,No data,16,15,15,33,10,25,10,No data,No data,43,No data,12,No data,13,10,No data,No data,11,No data,7,11,No data,No data
24/01/2011,26.2,13.5,-15.7,20.7,-27.1,24.8,319.4,7,No data,14,12,18,10,15,19,9,No data,No data,20,No data,15,No data,10,17,No data,No data,No data,No data,5,16,No data,No data
25/01/2011,18.2,10.3,-16.7,19.6,0.1,19.6,328.3,17,No data,12,13,13,12,18,24,10,No data,No data,17,No data,12,No data,13,21,No data,No data,No data,No data,7,13,No data,No data
26/01/2011,17.7,-12.3,-10.2,16,2.9,16,50.4,11,No data,12,12,No data,14,14,18,10,No data,No data,27,No data,13,No data,14,10,No data,No data,12,No data,8,14,No data,No data
27/01/2011,19.7,-5.7,1.3,5.8,-34.8,18.3,102.9,0,No data,6,12,8,16,9,13,10,No data,No data,30,No data,9,No data,13,8,No data,No data,10,No data,9,11,No data,No data
28/01/2011,19.3,1,2.4,2.6,-33.8,17.1,203.7,0,No data,11,20,11,26,14,18,16,No data,No data,27,No data,13,No data,19,12,No data,No data,15,No data,21,15,No data,No data
29/01/2011,20.1,-2.2,-2.7,3.5,-33.5,17.1,39.2,0,No data,14,23,27,35,28,24,25,No data,No data,41,No data,29,No data,29,26,No data,No data,32,No data,29,32,No data,No data
30/01/2011,15.7,12.8,3.8,13.4,-31.8,20.8,253.4,0,No data,18,32,13,37,10,19,30,No data,No data,38,No data,14,No data,33,12,No data,No data,15,No data,28,16,No data,No data
31/01/2011,12.7,22.2,12.7,25.6,-28.2,29.2,240.2,5,No data,47,52,27,23,21,38,38,No data,No data,21,No data,No data,No data,33,34,No data,No data,26,No data,30,20,No data,No data
01/02/2011,12.7,25.8,0.5,25.9,-30,29.9,268.9,6,No data,22,23,26,11,26,27,14,No data,No data,No data,No data,28,No data,19,43,No data,No data,31,No data,12,21,No data,No data
02/02/2011,8.7,31.9,11.2,33.8,5.9,34,250.7,16,No data,11,12,18,8,13,17,9,No data,No data,No data,No data,17,No data,12,30,No data,No data,16,No data,10,11,No data,No data
03/02/2011,5.7,33.6,24.6,41.7,-15.8,42.4,233.9,15,No data,8,13,13,9,11,17,7,No data,No data,17,No data,11,No data,No data,29,No data,No data,No data,No data,4,10,No data,No data
04/02/2011,0.1,35.2,8.5,36.3,12.9,36.8,256.5,16,No data,7,13,13,10,10,19,7,No data,No data,16,No data,No data,No data,11,20,No data,No data,16,No data,5,12,No data,No data
05/02/2011,5.6,25.9,4.8,26.4,-7.3,26.6,259.5,16,No data,5,13,11,7,8,14,5,No data,No data,15,No data,No data,No data,12,13,No data,No data,14,No data,4,8,No data,No data
06/02/2011,9.3,19.2,7.1,20.5,9,21,249.8,16,No data,5,8,11,11,6,13,4,No data,No data,No data,No data,No data,No data,9,12,No data,No data,13,No data,6,8,No data,No data
07/02/2011,7.2,20.6,-13.7,24.8,29.9,28.9,303.6,27,No data,7,10,13,7,11,17,7,No data,No data,No data,No data,No data,No data,8,18,No data,No data,15,No data,3,11,No data,No data
08/02/2011,9.2,8.6,14.5,16.9,-45,28.1,210.8,0,No data,16,19,20,13,14,21,16,No data,No data,28,No data,20,No data,18,26,No data,No data,25,No data,7,15,No data,No data
09/02/2011,10.7,10.1,16.4,19.2,16,20.8,211.7,15,No data,28,32,30,17,24,33,26,No data,No data,28,No data,30,No data,33,37,No data,No data,29,No data,28,23,No data,No data
10/02/2011,5.9,4.8,3.6,6,-28.6,15.5,232.8,0,No data,19,19,24,14,21,21,14,No data,No data,28,No data,25,No data,15,36,No data,No data,25,No data,13,20,No data,No data
11/02/2011,8.8,3.5,15.7,16.1,9,16.7,192.7,14,No data,18,22,22,22,13,24,18,No data,No data,40,No data,18,No data,25,32,No data,No data,19,No data,16,13,No data,No data
12/02/2011,7.4,5.2,17,17.8,11.9,18.7,196.8,14,No data,12,17,17,17,14,23,15,No data,No data,33,No data,15,No data,19,22,No data,No data,17,No data,7,10,No data,No data
13/02/2011,1.8,3.3,11.7,12.2,44.2,25.2,196,20,No data,7,13,14,12,10,13,8,No data,No data,20,No data,12,No data,16,14,No data,No data,11,No data,9,9,No data,No data
14/02/2011,0.4,5.7,9.1,10.8,28.8,18,212,20,No data,8,14,14,10,11,14,10,No data,No data,29,No data,10,No data,14,No data,No data,No data,8,No data,7,6,No data,No data
15/02/2011,-6.7,-5.8,21.6,22.4,37.3,29.1,164.9,24,No data,No data,18,16,17,8,15,17,No data,No data,28,No data,13,No data,22,15,No data,No data,10,No data,14,7,No data,No data
16/02/2011,-2.8,-11.8,14.5,18.7,32,24.6,141,23,No data,No data,20,20,15,11,16,19,No data,No data,35,No data,15,No data,23,19,No data,No data,12,No data,15,11,No data,No data
17/02/2011,6.6,-2,6.6,6.9,3.9,7.2,163.2,14,No data,35,33,43,25,31,32,35,No data,No data,47,No data,42,No data,41,38,No data,No data,37,No data,27,30,No data,No data
18/02/2011,9.1,-6.2,24.9,25.7,-0.2,25.7,165.9,14,No data,53,49,64,35,61,56,47,No data,No data,53,No data,62,No data,46,62,No data,No data,62,No data,37,54,No data,No data
19/02/2011,9.4,-0.6,16.5,16.5,3.1,16.6,177.7,14,No data,29,27,41,20,38,25,45,No data,No data,46,No data,42,No data,52,33,No data,No data,48,No data,26,24,No data,No data
20/02/2011,10.9,-2.3,26.6,26.7,1.2,26.7,174.9,14,No data,34,34,49,34,47,27,43,No data,No data,33,No data,51,No data,51,45,No data,No data,52,No data,35,36,No data,No data
21/02/2011,11.8,-1.2,15.8,15.8,11.5,16.8,175.5,14,No data,49,39,63,25,58,41,54,No data,No data,50,No data,64,No data,55,58,No data,No data,64,No data,30,42,No data,No data
22/02/2011,12.9,6.3,13.8,15.2,9.4,15.9,204.7,15,No data,43,40,60,31,58,37,38,No data,No data,43,No data,62,No data,49,63,No data,No data,62,No data,37,45,No data,No data
23/02/2011,8.7,17.7,14.8,23.1,11,23.7,230.1,15,No data,16,22,25,No data,25,18,13,No data,No data,24,No data,23,No data,22,39,No data,No data,24,No data,17,20,No data,No data
24/02/2011,10,21.4,12.8,24.9,-26.3,28.2,239,5,No data,12,18,18,No data,14,18,12,No data,No data,24,No data,16,No data,19,30,No data,No data,19,No data,11,12,No data,No data
25/02/2011,11.1,25,11.5,27.5,-12.5,28.2,245.3,15,No data,11,15,21,No data,13,17,12,No data,No data,22,No data,15,No data,16,30,No data,No data,17,No data,10,10,No data,No data
